Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	63	81	30	39	93	34	
		Student 1	64	51	77	93	65	48	
		Student 2	53	16	21	89	98	48	
		Student 3	24	98	22	88	44	30	
		Student 4	36	73	75	80	21	72	
		Student 5	31	56	83	49	51	24	
		Student 6	21	40	36	35	28	21	
		Student 7	30	25	43	15	23	97	
		Student 8	79	82	40	18	75	95	
		Student 9	86	10	18	94	29	48	
		Student 10	16	94	74	19	76	85	
		Student 11	21	91	72	55	50	17	
		Student 12	32	12	98	72	97	53	
		Student 13	26	37	24	13	15	40	
		Student 14	47	63	84	86	53	53	
		Student 15	49	81	84	73	55	54	
		Student 16	50	88	23	81	74	46	
		Student 17	63	54	26	91	46	60	
		Student 18	86	34	11	52	24	44	
		Student 19	10	11	31	59	81	16	
		Student 20	24	15	71	13	64	93	
		Student 21	98	53	27	72	46	15	
		Student 22	67	19	95	70	57	17	
		Student 23	15	72	19	65	88	52	
		Student 24	71	48	68	87	55	92	
		Student 25	40	71	86	18	25	50	
		Student 26	63	50	69	54	17	34	
		Student 27	94	92	11	42	85	85	
		Student 28	23	43	35	29	42	62	
		Student 29	21	12	98	26	82	62	
		Student 30	86	53	46	87	45	99	
		Student 31	11	23	10	95	96	97	
		Student 32	10	81	40	59	15	65	
		Student 33	39	15	38	63	58	97	
		Student 34	97	69	90	14	36	71	
		Student 35	68	16	36	10	37	42	
		Student 36	54	62	73	90	79	72	
		Student 37	16	50	52	99	88	73	
		Student 38	50	18	31	13	62	54	
		Student 39	95	82	39	26	36	20	
		Student 40	26	14	35	18	72	96	
		Student 41	69	30	68	30	14	81	
		Student 42	11	82	46	24	24	42	
		Student 43	25	11	67	68	69	91	
		Student 44	35	55	41	58	94	78	
		Student 45	99	85	14	32	52	20	
		Student 46	54	76	99	74	66	19	
		Student 47	39	23	43	70	48	50	
		Student 48	64	39	28	75	29	17	
		Student 49	81	18	65	21	11	21	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	76	16	95	23	13	36	
		Student 1	64	80	72	88	69	51	
		Student 2	53	43	50	76	79	62	
		Student 3	77	76	26	10	45	65	
		Student 4	69	47	95	91	93	33	
		Student 5	42	57	17	94	86	28	
		Student 6	18	62	31	13	23	61	
		Student 7	78	61	22	57	12	75	
		Student 8	34	19	87	78	62	48	
		Student 9	44	86	24	29	21	66	
		Student 10	96	81	61	39	59	31	
		Student 11	41	61	67	83	78	10	
		Student 12	24	64	74	20	64	91	
		Student 13	64	11	22	57	18	89	
		Student 14	73	98	23	64	66	41	
		Student 15	19	20	91	92	40	83	
		Student 16	62	27	35	11	38	16	
		Student 17	63	80	12	11	90	43	
		Student 18	93	56	40	51	41	46	
		Student 19	28	37	68	87	31	88	
		Student 20	67	25	31	86	36	15	
		Student 21	22	46	57	14	24	73	
		Student 22	23	78	45	72	66	12	
		Student 23	21	24	32	18	91	83	
		Student 24	35	74	43	63	87	53	
		Student 25	28	13	27	73	29	31	
		Student 26	51	90	22	83	99	10	
		Student 27	39	34	24	39	37	55	
		Student 28	79	93	18	40	23	52	
		Student 29	27	67	70	71	15	78	
		Student 30	51	92	66	95	95	71	
		Student 31	60	72	29	37	48	56	
		Student 32	56	38	98	71	91	25	
		Student 33	68	47	87	56	65	43	
		Student 34	46	55	88	22	53	16	
		Student 35	99	15	98	52	40	52	
		Student 36	98	92	39	39	44	74	
		Student 37	72	86	58	42	96	67	
		Student 38	17	81	67	74	15	40	
		Student 39	58	32	96	24	79	75	
		Student 40	40	31	98	28	84	62	
		Student 41	89	50	32	66	81	58	
		Student 42	78	33	45	94	49	90	
		Student 43	51	16	64	32	18	35	
		Student 44	46	84	69	61	74	30	
		Student 45	16	67	33	11	52	74	
		Student 46	42	87	43	97	73	38	
		Student 47	37	14	16	60	17	86	
		Student 48	70	46	25	77	91	85	
		Student 49	36	45	68	44	92	79	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	52	92	13	34	89	13	
		Student 1	28	34	61	39	99	98	
		Student 2	20	92	20	99	71	73	
		Student 3	84	73	48	25	71	89	
		Student 4	82	67	91	38	40	67	
		Student 5	16	11	30	34	45	60	
		Student 6	15	66	47	33	87	36	
		Student 7	46	59	27	37	40	91	
		Student 8	54	31	74	56	94	94	
		Student 9	22	62	67	81	12	40	
		Student 10	54	80	47	23	25	76	
		Student 11	38	22	97	84	12	82	
		Student 12	98	74	58	19	52	18	
		Student 13	27	65	45	52	25	86	
		Student 14	11	69	10	22	45	18	
		Student 15	10	49	75	74	77	26	
		Student 16	44	89	99	13	22	93	
		Student 17	36	42	83	54	95	14	
		Student 18	12	77	38	57	21	36	
		Student 19	27	54	40	31	46	65	
		Student 20	49	87	45	91	54	71	
		Student 21	62	77	83	19	41	59	
		Student 22	16	78	65	68	10	31	
		Student 23	50	52	27	69	61	19	
		Student 24	57	74	90	24	84	63	
		Student 25	66	84	17	84	82	50	
		Student 26	94	16	98	87	33	23	
		Student 27	21	80	51	50	76	91	
		Student 28	72	11	40	89	10	93	
		Student 29	78	95	80	13	74	66	
		Student 30	39	18	59	43	84	66	
		Student 31	62	88	15	21	85	18	
		Student 32	64	17	29	38	96	36	
		Student 33	28	42	75	95	63	94	
		Student 34	98	69	50	72	34	78	
		Student 35	96	45	89	97	93	84	
		Student 36	50	64	83	62	55	18	
		Student 37	65	34	88	55	77	90	
		Student 38	38	95	22	52	61	49	
		Student 39	83	23	22	29	25	99	
		Student 40	65	71	53	61	78	90	
		Student 41	46	52	20	24	29	48	
		Student 42	56	67	98	14	85	81	
		Student 43	87	59	82	80	88	63	
		Student 44	33	59	94	78	29	13	
		Student 45	87	25	53	44	95	91	
		Student 46	57	20	78	90	27	95	
		Student 47	35	33	77	83	68	24	
		Student 48	57	58	52	62	45	19	
		Student 49	97	32	39	74	61	50	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	20	57	21	11	83	14	
		Student 1	17	60	70	91	69	83	
		Student 2	96	25	71	42	25	18	
		Student 3	92	25	64	35	47	46	
		Student 4	47	28	86	11	87	69	
		Student 5	12	29	93	16	40	40	
		Student 6	60	63	91	83	74	43	
		Student 7	53	76	45	90	99	81	
		Student 8	90	22	84	13	79	57	
		Student 9	21	19	35	54	48	90	
		Student 10	35	62	33	67	90	11	
		Student 11	84	58	46	61	65	76	
		Student 12	86	15	48	70	83	30	
		Student 13	26	47	69	11	78	29	
		Student 14	10	25	86	37	34	87	
		Student 15	43	64	30	87	85	78	
		Student 16	88	53	80	41	34	59	
		Student 17	85	58	98	90	29	20	
		Student 18	79	23	14	26	13	94	
		Student 19	15	37	77	71	89	36	
		Student 20	10	68	60	80	91	44	
		Student 21	81	31	91	68	37	75	
		Student 22	21	86	91	47	92	39	
		Student 23	52	44	90	47	23	89	
		Student 24	48	58	70	15	75	27	
		Student 25	16	10	44	87	68	83	
		Student 26	46	69	86	62	95	34	
		Student 27	89	99	34	98	62	43	
		Student 28	11	87	19	76	68	13	
		Student 29	82	53	14	52	60	50	
		Student 30	50	63	40	30	13	88	
		Student 31	68	62	40	70	38	38	
		Student 32	51	16	15	90	13	93	
		Student 33	53	65	69	93	10	47	
		Student 34	93	29	86	78	84	19	
		Student 35	71	17	93	93	68	64	
		Student 36	25	35	96	29	99	81	
		Student 37	22	28	34	10	10	87	
		Student 38	23	58	37	99	88	44	
		Student 39	49	75	86	93	65	55	
		Student 40	95	33	65	52	51	94	
		Student 41	57	40	63	33	77	76	
		Student 42	49	50	33	94	87	54	
		Student 43	72	99	71	88	70	29	
		Student 44	59	33	73	25	12	15	
		Student 45	73	29	13	76	23	93	
		Student 46	61	63	53	36	19	43	
		Student 47	77	96	36	80	62	63	
		Student 48	89	70	36	84	53	33	
		Student 49	71	80	85	92	76	70	
