Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	89	10	12	18	77	88	
		Student 1	16	16	90	62	71	50	
		Student 2	69	27	24	37	62	30	
		Student 3	97	10	40	60	72	47	
		Student 4	87	74	34	17	60	47	
		Student 5	28	53	71	94	75	28	
		Student 6	87	21	96	82	29	89	
		Student 7	87	70	99	95	49	12	
		Student 8	50	35	64	99	14	90	
		Student 9	78	47	39	78	72	69	
		Student 10	80	16	10	59	79	46	
		Student 11	11	77	89	63	46	69	
		Student 12	98	80	38	23	95	92	
		Student 13	48	19	16	89	74	96	
		Student 14	55	84	77	51	34	59	
		Student 15	81	43	82	57	73	95	
		Student 16	88	53	53	68	77	99	
		Student 17	45	69	86	63	13	25	
		Student 18	88	63	35	49	71	83	
		Student 19	61	70	63	98	64	30	
		Student 20	86	65	60	62	63	43	
		Student 21	74	13	38	55	45	10	
		Student 22	51	14	19	48	34	41	
		Student 23	63	86	99	88	20	94	
		Student 24	70	94	98	44	84	18	
		Student 25	62	29	13	80	16	56	
		Student 26	75	29	55	72	71	71	
		Student 27	95	75	96	55	17	47	
		Student 28	43	26	97	16	69	64	
		Student 29	34	14	27	83	11	94	
		Student 30	65	88	35	91	28	33	
		Student 31	63	70	48	21	72	21	
		Student 32	62	93	47	53	73	89	
		Student 33	13	74	64	17	56	94	
		Student 34	28	73	73	11	79	23	
		Student 35	23	81	38	47	87	66	
		Student 36	61	78	25	35	99	17	
		Student 37	91	50	86	46	23	79	
		Student 38	32	34	97	23	73	53	
		Student 39	64	81	44	25	55	43	
		Student 40	48	47	22	11	73	57	
		Student 41	53	20	15	34	87	68	
		Student 42	10	13	28	30	96	13	
		Student 43	32	28	78	59	57	81	
		Student 44	95	11	29	84	76	32	
		Student 45	63	59	61	88	80	33	
		Student 46	58	50	41	52	75	44	
		Student 47	64	41	56	39	53	34	
		Student 48	48	58	72	61	87	39	
		Student 49	96	59	12	65	76	77	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	10	76	18	27	89	72	
		Student 1	86	50	43	37	91	36	
		Student 2	72	72	28	49	80	17	
		Student 3	65	50	84	63	56	81	
		Student 4	23	80	31	27	78	24	
		Student 5	18	67	18	74	50	73	
		Student 6	48	72	85	29	33	42	
		Student 7	83	30	67	98	72	37	
		Student 8	18	47	56	75	82	14	
		Student 9	38	16	95	17	40	56	
		Student 10	70	50	38	64	22	19	
		Student 11	82	10	64	88	98	36	
		Student 12	24	81	61	19	61	48	
		Student 13	41	50	57	14	39	97	
		Student 14	27	50	60	21	87	48	
		Student 15	75	59	50	48	22	74	
		Student 16	69	74	42	35	37	31	
		Student 17	13	88	67	25	56	98	
		Student 18	53	75	56	18	16	50	
		Student 19	80	45	50	83	41	90	
		Student 20	43	58	83	53	79	60	
		Student 21	31	31	27	83	82	86	
		Student 22	92	89	30	92	46	52	
		Student 23	45	28	92	46	80	80	
		Student 24	12	40	63	68	18	45	
		Student 25	25	86	36	94	94	42	
		Student 26	98	61	40	97	49	97	
		Student 27	26	86	94	87	72	32	
		Student 28	84	77	20	86	95	68	
		Student 29	26	20	32	37	19	76	
		Student 30	77	77	83	27	40	85	
		Student 31	81	58	40	54	27	77	
		Student 32	84	48	34	41	89	64	
		Student 33	76	57	41	75	70	20	
		Student 34	78	64	71	90	59	33	
		Student 35	48	38	55	18	50	76	
		Student 36	99	37	36	48	88	96	
		Student 37	99	58	54	14	19	52	
		Student 38	63	87	36	52	68	47	
		Student 39	33	42	18	60	34	45	
		Student 40	22	32	64	25	18	69	
		Student 41	56	23	60	51	33	17	
		Student 42	39	83	91	25	97	98	
		Student 43	65	21	23	25	86	71	
		Student 44	19	26	91	70	32	42	
		Student 45	68	92	58	31	31	57	
		Student 46	22	71	57	54	27	11	
		Student 47	29	93	30	97	66	84	
		Student 48	92	14	25	30	78	31	
		Student 49	57	14	31	57	30	89	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	33	71	52	45	99	81	
		Student 1	79	54	47	97	81	39	
		Student 2	16	34	57	39	26	32	
		Student 3	61	92	67	34	15	69	
		Student 4	95	38	17	92	49	24	
		Student 5	81	45	55	60	16	29	
		Student 6	84	14	31	31	60	58	
		Student 7	86	70	10	58	48	27	
		Student 8	33	44	86	63	39	84	
		Student 9	53	95	45	63	84	15	
		Student 10	71	34	99	83	64	85	
		Student 11	96	36	74	29	58	87	
		Student 12	23	72	44	70	87	14	
		Student 13	77	54	95	94	42	36	
		Student 14	13	51	56	19	76	38	
		Student 15	50	63	93	47	55	99	
		Student 16	25	66	10	97	83	79	
		Student 17	47	96	34	27	42	80	
		Student 18	16	24	21	62	57	43	
		Student 19	37	55	98	21	19	36	
		Student 20	59	15	62	18	51	77	
		Student 21	79	20	96	66	43	69	
		Student 22	23	56	66	81	45	20	
		Student 23	10	61	79	68	35	99	
		Student 24	25	40	50	37	37	79	
		Student 25	32	95	58	81	89	95	
		Student 26	64	64	78	66	71	24	
		Student 27	83	40	61	14	46	23	
		Student 28	11	32	53	86	77	56	
		Student 29	17	77	54	44	59	73	
		Student 30	76	16	80	51	46	66	
		Student 31	46	42	28	76	32	95	
		Student 32	71	82	28	92	97	69	
		Student 33	40	77	46	85	43	54	
		Student 34	71	42	14	41	20	43	
		Student 35	42	20	14	96	48	52	
		Student 36	41	77	47	79	35	78	
		Student 37	92	16	36	35	18	18	
		Student 38	39	77	86	33	98	61	
		Student 39	82	95	82	76	41	50	
		Student 40	23	60	11	39	97	25	
		Student 41	95	75	39	63	75	32	
		Student 42	38	20	66	19	44	10	
		Student 43	35	21	61	94	36	87	
		Student 44	50	86	48	64	69	93	
		Student 45	48	55	78	52	19	24	
		Student 46	71	68	74	40	30	94	
		Student 47	25	10	43	26	17	95	
		Student 48	53	79	71	89	77	56	
		Student 49	45	42	70	21	94	71	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	94	35	92	25	42	11	
		Student 1	81	89	30	72	86	71	
		Student 2	80	50	59	81	29	62	
		Student 3	92	83	65	37	51	88	
		Student 4	95	48	54	73	68	59	
		Student 5	64	84	80	57	15	54	
		Student 6	31	99	82	69	37	77	
		Student 7	49	84	16	85	43	61	
		Student 8	27	42	42	49	14	53	
		Student 9	10	66	35	69	90	48	
		Student 10	23	74	19	91	43	13	
		Student 11	90	11	41	83	86	28	
		Student 12	84	73	42	13	79	43	
		Student 13	62	69	47	83	63	24	
		Student 14	46	78	64	94	18	69	
		Student 15	61	92	84	38	52	23	
		Student 16	59	75	52	37	30	44	
		Student 17	27	13	86	94	55	28	
		Student 18	84	80	84	60	97	83	
		Student 19	52	37	44	36	35	84	
		Student 20	94	68	77	48	46	50	
		Student 21	23	21	93	70	92	15	
		Student 22	82	75	51	18	25	81	
		Student 23	72	93	63	52	51	70	
		Student 24	90	21	67	80	48	21	
		Student 25	21	83	33	58	55	52	
		Student 26	26	87	86	75	57	26	
		Student 27	74	83	50	92	23	85	
		Student 28	32	65	64	97	21	64	
		Student 29	37	99	56	66	82	68	
		Student 30	40	61	17	98	92	21	
		Student 31	60	82	63	81	50	71	
		Student 32	97	40	46	34	35	87	
		Student 33	68	80	95	12	31	36	
		Student 34	57	92	45	97	27	16	
		Student 35	79	78	47	80	40	10	
		Student 36	99	78	27	65	85	46	
		Student 37	82	53	20	86	18	93	
		Student 38	77	67	59	46	40	29	
		Student 39	22	76	79	57	39	85	
		Student 40	84	96	66	59	92	40	
		Student 41	50	18	33	15	67	69	
		Student 42	30	17	84	78	10	31	
		Student 43	77	56	86	43	79	55	
		Student 44	84	44	94	94	36	99	
		Student 45	72	69	56	34	11	93	
		Student 46	66	47	41	49	70	94	
		Student 47	25	32	92	78	60	92	
		Student 48	47	51	65	91	40	74	
		Student 49	34	15	88	85	21	32	
